"*","STITCH","-5.545611","-11.410718"
"*","STITCH","-6.466151","-9.859958"
"*","STITCH","-7.140708","-8.206014"
"*","STITCH","-7.541188","-6.483425"
"*","STITCH","-7.641199","-4.735876"
"*","STITCH","-7.417796","-3.018369"
"*","STITCH","-6.854291","-1.400171"
"*","STITCH","-5.944998","0.030960"
"*","STITCH","-4.703868","1.162322"
"*","STITCH","-3.182174","1.845356"
"*","STITCH","-1.512741","1.873809"
"*","STITCH","-1.815142","1.582657"
"*","STITCH","-3.454273","1.264742"
"*","STITCH","-4.834240","0.327846"
"*","STITCH","-5.860056","-1.001848"
"*","STITCH","-6.507022","-2.569135"
"*","STITCH","-6.780969","-4.260600"
"*","STITCH","-6.702736","-5.990808"
"*","STITCH","-6.300786","-7.694441"
"*","STITCH","-5.607265","-9.321317"
"*","STITCH","-4.655752","-10.832999"
"*","STITCH","-3.479910","-12.200348"
"*","STITCH","-2.112659","-13.401716"
"*","STITCH","-0.585671","-14.421546"
"*","STITCH","-2.008011","-21.232059"
"*","STITCH","1.896533","-15.019068"
"*","STITCH","-2.330351","-21.051083"
"*","STITCH","1.644076","-14.924628"
"*","STITCH","-2.649139","-20.864789"
"*","STITCH","1.393863","-14.825969"
"*","STITCH","-2.964267","-20.673215"
"*","STITCH","1.145976","-14.723118"
"*","STITCH","-3.275627","-20.476402"
"*","STITCH","0.900501","-14.616102"
"*","STITCH","-3.583110","-20.274395"
"*","STITCH","0.657522","-14.504948"
"*","STITCH","-3.886607","-20.067237"
"*","STITCH","0.417124","-14.389689"
"*","STITCH","-4.186008","-19.854978"
"*","STITCH","0.179392","-14.270356"
"*","STITCH","-4.481202","-19.637666"
"*","STITCH","-0.055587","-14.146984"
"*","STITCH","-4.772079","-19.415355"
"*","STITCH","-0.287728","-14.019609"
"*","STITCH","-5.058528","-19.188100"
"*","STITCH","-0.516945","-13.888269"
"*","STITCH","-5.340439","-18.955958"
"*","STITCH","-0.743151","-13.753004"
"*","STITCH","-5.617699","-18.718989"
"*","STITCH","-0.966260","-13.613856"
"*","STITCH","-5.890198","-18.477256"
"*","STITCH","-1.186186","-13.470869"
"*","STITCH","-6.157823","-18.230824"
"*","STITCH","-1.402841","-13.324090"
"*","STITCH","-6.420463","-17.979761"
"*","STITCH","-1.616140","-13.173566"
"*","STITCH","-6.678006","-17.724139"
"*","STITCH","-1.825993","-13.019348"
"*","STITCH","-6.930339","-17.464030"
"*","STITCH","-2.032316","-12.861488"
"*","STITCH","-7.177351","-17.199512"
"*","STITCH","-2.235021","-12.700042"
"*","STITCH","-7.418930","-16.930663"
"*","STITCH","-2.434022","-12.535067"
"*","STITCH","-7.654963","-16.657567"
"*","STITCH","-2.629230","-12.366621"
"*","STITCH","-7.885339","-16.380308"
"*","STITCH","-2.820561","-12.194767"
"*","STITCH","-8.109947","-16.098975"
"*","STITCH","-3.007928","-12.019569"
"*","STITCH","-8.328674","-15.813661"
"*","STITCH","-3.191244","-11.841093"
"*","STITCH","-8.541410","-15.524459"
"*","STITCH","-3.370424","-11.659409"
"*","STITCH","-8.748044","-15.231469"
"*","STITCH","-3.545382","-11.474588"
"*","STITCH","-8.948466","-14.934792"
"*","STITCH","-3.716033","-11.286705"
"*","STITCH","-9.142565","-14.634533"
"*","STITCH","-3.882292","-11.095836"
"*","STITCH","-9.330232","-14.330801"
"*","STITCH","-4.044076","-10.902061"
"*","STITCH","-9.511359","-14.023707"
"*","STITCH","-4.201300","-10.705463"
"*","STITCH","-9.685836","-13.713368"
"*","STITCH","-4.353882","-10.506125"
"*","STITCH","-9.853558","-13.399903"
"*","STITCH","-4.501739","-10.304137"
"*","STITCH","-10.014417","-13.083436"
"*","STITCH","-4.644789","-10.099589"
"*","STITCH","-10.168308","-12.764092"
"*","STITCH","-4.782953","-9.892575"
"*","STITCH","-10.315126","-12.442005"
"*","STITCH","-4.916150","-9.683191"
"*","STITCH","-10.454767","-12.117307"
"*","STITCH","-5.044300","-9.471538"
"*","STITCH","-10.587130","-11.790139"
"*","STITCH","-5.167328","-9.257717"
"*","STITCH","-10.712112","-11.460644"
"*","STITCH","-5.285154","-9.041835"
"*","STITCH","-10.829615","-11.128969"
"*","STITCH","-5.397706","-8.824001"
"*","STITCH","-10.939540","-10.795266"
"*","STITCH","-5.504907","-8.604327"
"*","STITCH","-11.041791","-10.459691"
"*","STITCH","-5.606686","-8.382930"
"*","STITCH","-11.136272","-10.122406"
"*","STITCH","-5.702970","-8.159927"
"*","STITCH","-11.222890","-9.783574"
"*","STITCH","-5.793692","-7.935442"
"*","STITCH","-11.301555","-9.443366"
"*","STITCH","-5.878782","-7.709600"
"*","STITCH","-11.372178","-9.101957"
"*","STITCH","-5.958175","-7.482531"
"*","STITCH","-11.434671","-8.759527"
"*","STITCH","-6.031807","-7.254368"
"*","STITCH","-11.488951","-8.416259"
"*","STITCH","-6.099615","-7.025247"
"*","STITCH","-11.534936","-8.072344"
"*","STITCH","-6.161541","-6.795309"
"*","STITCH","-11.572547","-7.727975"
"*","STITCH","-6.217527","-6.564697"
