"*","STITCH","0.000048","0.000065"
"*","STITCH","0.145925","2.264697"
"*","STITCH","0.006013","0.006867"
"*","STITCH","0.306651","1.986070"
"*","STITCH","0.026516","0.025014"
"*","STITCH","0.432928","1.686418"
"*","JUMP","4.970548","-9.088120"
"*","STITCH","20.482011","-10.089112"
"*","STITCH","4.789311","-9.076498"
"*","STITCH","20.199548","-10.331213"
"*","STITCH","4.608898","-9.061829"
"*","STITCH","19.913507","-10.568430"
"*","STITCH","4.429364","-9.044121"
"*","STITCH","19.623956","-10.800686"
"*","STITCH","4.250765","-9.023384"
"*","STITCH","19.330961","-11.027904"
"*","STITCH","4.073160","-8.999627"
"*","STITCH","19.034592","-11.250006"
"*","STITCH","3.896604","-8.972861"
"*","STITCH","18.734922","-11.466916"
"*","STITCH","3.721155","-8.943099"
"*","STITCH","18.432023","-11.678558"
"*","STITCH","3.546870","-8.910354"
"*","STITCH","18.125971","-11.884854"
"*","STITCH","3.373807","-8.874641"
"*","STITCH","17.816843","-12.085731"
"*","STITCH","3.202024","-8.835975"
"*","STITCH","17.504718","-12.281113"
"*","STITCH","3.031579","-8.794372"
"*","STITCH","17.189678","-12.470925"
"*","STITCH","2.862531","-8.749852"
"*","STITCH","16.871806","-12.655094"
"*","STITCH","2.694938","-8.702433"
"*","STITCH","16.551188","-12.833547"
"*","STITCH","2.528859","-8.652136"
"*","STITCH","16.227910","-13.006211"
"*","STITCH","2.364352","-8.598983"
"*","STITCH","15.902062","-13.173014"
"*","STITCH","2.201477","-8.542997"
"*","STITCH","15.573736","-13.333885"
"*","STITCH","2.040293","-8.484202"
"*","STITCH","15.243026","-13.488754"
"*","STITCH","1.880858","-8.422625"
"*","STITCH","14.910027","-13.637551"
"*","STITCH","1.723232","-8.358292"
"*","STITCH","14.574839","-13.780207"
"*","STITCH","1.567474","-8.291233"
"*","STITCH","14.237560","-13.916655"
"*","STITCH","1.413644","-8.221477"
"*","STITCH","13.898294","-14.046828"
"*","STITCH","1.261800","-8.149057"
"*","STITCH","13.557146","-14.170660"
"*","STITCH","1.112001","-8.074004"
"*","STITCH","13.214223","-14.288087"
"*","STITCH","0.964307","-7.996353"
"*","STITCH","12.869634","-14.399045"
"*","STITCH","0.818777","-7.916141"
"*","STITCH","12.523492","-14.503471"
"*","STITCH","0.675469","-7.833405"
"*","STITCH","12.175910","-14.601304"
"*","STITCH","0.534441","-7.748185"
"*","STITCH","11.827005","-14.692485"
"*","STITCH","0.395753","-7.660520"
"*","STITCH","11.476897","-14.776955"
"*","STITCH","0.259462","-7.570454"
"*","STITCH","11.125707","-14.854657"
"*","STITCH","0.125626","-7.478031"
"*","STITCH","10.773559","-14.925535"
"*","STITCH","-0.005696","-7.383295"
"*","STITCH","10.420580","-14.989536"
"*","STITCH","-0.134449","-7.286295"
"*","STITCH","10.066898","-15.046607"
"*","STITCH","-0.260576","-7.187080"
"*","STITCH","9.712645","-15.096698"
"*","STITCH","-0.384019","-7.085701"
"*","STITCH","9.357957","-15.139759"
"*","STITCH","-0.504723","-6.982210"
"*","STITCH","9.002968","-15.175743"
"*","STITCH","-0.622633","-6.876662"
"*","STITCH","8.647820","-15.204606"
"*","STITCH","-0.737694","-6.769114"
"*","STITCH","8.292654","-15.226304"
"*","STITCH","-0.849852","-6.659623"
"*","STITCH","7.937615","-15.240797"
"*","STITCH","-0.959053","-6.548249"
"*","STITCH","7.582850","-15.248045"
"*","STITCH","-1.065245","-6.435055"
"*","STITCH","7.228510","-15.248013"
"*","STITCH","-1.168376","-6.320104"
"*","STITCH","6.874748","-15.240665"
"*","STITCH","-1.268395","-6.203463"
"*","STITCH","6.521720","-15.225972"
"*","STITCH","-1.365251","-6.085199"
"*","STITCH","6.169584","-15.203902"
"*","STITCH","-1.458895","-5.965382"
"*","STITCH","5.818502","-15.174432"
"*","STITCH","-1.549280","-5.844084"
"*","STITCH","5.468638","-15.137536"
"*","STITCH","-1.636357","-5.721379"
"*","STITCH","5.120160","-15.093194"
"*","STITCH","-1.720082","-5.597343"
"*","STITCH","4.773236","-15.041389"
"*","STITCH","-1.800410","-5.472055"
"*","STITCH","4.428041","-14.982107"
"*","STITCH","-1.877297","-5.345593"
